Keypoint,Mean_Conf,Std_Conf,Pct_High_Conf
L_Eye,0.442,0.0529,12.5
R_Eye,0.483,0.0752,41.67
Chin,0.5172,0.057,58.33
R_F_Hoof,0.5484,0.0573,83.33
L_F_Hoof,0.5566,0.0499,79.17
R_B_Hoof,0.5522,0.0738,75.0
L_B_Hoof,0.5478,0.0475,83.33
Tail_Base,0.5445,0.0851,66.67
R_Shoulder,0.5905,0.0977,87.5
L_Shoulder,0.6025,0.1008,83.33
R_Hip,0.5747,0.0945,79.17
L_Hip,0.5844,0.0791,83.33
Spine_Mid,0.5256,0.0952,62.5
Withers,0.5849,0.0988,75.0
R_F_Knee,0.5814,0.0655,83.33
L_F_Knee,0.6047,0.0905,83.33
R_B_Knee,0.5971,0.0877,83.33
L_B_Knee,0.5734,0.0883,83.33
Throat,0.4451,0.0879,25.0
Tail_Tip,0.5086,0.0768,54.17
L_EarBase,0.4301,0.0464,4.17
R_EarBase,0.4348,0.0609,16.67
Mouth_Corner,0.4263,0.0629,12.5
Nose_Tip,0.4516,0.0721,20.83
Nose_Bridge,0.5085,0.0512,58.33
Tail_Mid,0.515,0.0481,70.83
