epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2265,1.68839,14.8414,0.69908,3.20576,0.04347,30.9202,0.27167,0.125,0.16484,0.05942,0,0,0,0,1.84125,22.469,0.73541,2.81285,0.06988,0,5.94545e-05,5.94545e-05,0.0802413
2,127.147,1.40187,14.4423,0.69911,2.55867,0.03429,26.1095,0.53823,0.45833,0.37348,0.13976,0,0,0,0,1.45256,21.5934,0.77167,2.25316,0.05387,0,0.000118272,0.000118272,0.0603001
3,188.93,1.36302,14.3482,0.69646,2.32483,0.03343,24.7552,0.45547,0.48826,0.41891,0.20502,0,0,0,0,1.2479,20.9861,0.77826,2.08502,0.0455,0,0.000175901,0.000175901,0.0403577
4,248.641,1.33549,13.9867,0.68733,2.31487,0.03309,23.4061,0.65616,0.41667,0.37445,0.13475,0,0,0,0,1.48874,21.3863,0.70541,2.28645,0.05437,0,0.000232343,0.000232343,0.0204142
5,309.234,1.3319,13.88,0.67962,2.36277,0.03241,24.5686,0.57755,0.54167,0.5345,0.24622,0,0,0,0,1.31411,20.4888,0.74702,1.78372,0.04599,0,0.000287596,0.000287596,0.000469414
6,369.593,1.30507,13.597,0.67677,2.38329,0.03142,23.827,0.5328,0.5,0.48264,0.23481,0,0,0,0,1.25655,20.4278,0.71725,1.80669,0.0428,0,0.00028515,0.00028515,0.00028515
7,428.724,1.3075,13.6498,0.66862,2.30385,0.03176,23.0582,0.54471,0.58333,0.59055,0.32932,0,0,0,0,1.21155,20.0471,0.73317,1.61975,0.04098,0,0.00028218,0.00028218,0.00028218
8,489.325,1.28486,13.4776,0.66457,2.23492,0.03143,22.5898,0.5993,0.66667,0.59375,0.27167,0,0,0,0,1.30799,18.367,0.71078,1.41239,0.0465,0,0.00027921,0.00027921,0.00027921
9,547.589,1.30561,13.2404,0.66002,2.31169,0.03189,23.4719,0.68428,0.54167,0.59297,0.2121,0,0,0,0,1.257,18.5027,0.68178,1.85651,0.0424,0,0.00027624,0.00027624,0.00027624
10,604.576,1.27977,12.9983,0.6555,2.27767,0.03095,22.7966,0.59657,0.625,0.63126,0.26153,0.34324,0.04167,0.02268,0.00454,1.37198,17.754,0.71521,1.70535,0.04544,0,0.00027327,0.00027327,0.00027327
11,663.794,1.31239,13.2357,0.65659,2.22614,0.03197,21.3547,0.59429,0.625,0.60149,0.23879,0.46374,0.04167,0.04544,0.00909,1.45427,17.1089,0.63924,1.70086,0.05118,0,0.0002703,0.0002703,0.0002703
12,721.862,1.28827,13.0385,0.65624,2.208,0.03084,22.2614,0.59619,0.625,0.54045,0.27597,0,0,0,0,1.26229,17.3737,0.63675,1.51801,0.04527,0,0.00026733,0.00026733,0.00026733
13,778.756,1.24849,13.1784,0.65365,2.22048,0.03023,22.1041,0.66702,0.625,0.54113,0.29644,0.22079,0.04167,0.01157,0.00347,1.20001,16.5643,0.63809,1.53421,0.04011,0,0.00026436,0.00026436,0.00026436
14,835.885,1.24984,12.562,0.65026,2.16824,0.03006,20.981,0.60047,0.56406,0.60155,0.29537,0.19374,0.04167,0.01069,0.00392,1.27757,16.0811,0.7058,1.48857,0.04449,0,0.00026139,0.00026139,0.00026139
15,893.283,1.2679,12.498,0.65494,2.19201,0.0307,21.8579,0.84804,0.69799,0.72383,0.3899,0.10784,0.08333,0.0172,0.00524,1.21789,15.2639,0.67133,1.32294,0.04064,0,0.00025842,0.00025842,0.00025842
16,951.411,1.244,12.7012,0.64976,2.18081,0.03032,20.4683,0.8534,0.72818,0.75528,0.36473,0.21099,0.04167,0.01546,0.00309,1.20402,16.611,0.65187,1.41489,0.04129,0,0.00025545,0.00025545,0.00025545
17,1008.33,1.25496,12.2659,0.64316,2.18766,0.0303,20.9177,0.85133,0.58333,0.71207,0.34429,0.24099,0.04167,0.01151,0.0046,1.31115,15.7069,0.67273,1.39258,0.04505,0,0.00025248,0.00025248,0.00025248
18,1065.45,1.24199,12.1912,0.6458,2.19454,0.02978,20.8919,0.63675,0.625,0.59188,0.26463,0.27656,0.04167,0.01879,0.00988,1.21063,15.4567,0.70673,1.66354,0.04295,0,0.00024951,0.00024951,0.00024951
19,1122.12,1.2478,12.1546,0.63989,2.14856,0.03028,20.1941,0.7896,0.66667,0.65677,0.29373,0.09724,0.08333,0.01135,0.00476,1.38519,15.1295,0.71496,1.42797,0.04874,0,0.00024654,0.00024654,0.00024654
20,1178.86,1.27221,12.2507,0.64695,2.16986,0.03084,20.7956,0.68954,0.70833,0.74998,0.33472,0.23622,0.08333,0.02579,0.00474,1.38465,14.9761,0.66116,1.37797,0.047,0,0.00024357,0.00024357,0.00024357
21,1235.35,1.22163,12.2662,0.64614,2.14915,0.02907,20.4502,0.6506,0.62084,0.5669,0.22187,0.07181,0.08333,0.00872,0.0037,1.34676,15.0584,0.66484,1.82242,0.04573,0,0.0002406,0.0002406,0.0002406
22,1293.17,1.21385,12.281,0.64333,2.12287,0.02956,20.6039,0.56739,0.54667,0.58775,0.26134,0.29853,0.04167,0.01535,0.00195,1.27169,15.8485,0.68102,1.71003,0.04235,0,0.00023763,0.00023763,0.00023763
